Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,5754.507905,6909.220718,8552.549548,10106.01796,10991.81591,12069.2209,12539.1943,13240.62468,14412.51053,14475.95533,14557.49212,15636.13095,16895.19697,16911.27175,18246.2205,17925.31946,16885.92021,18081.32062,19400.95067,16120.61224,20432.17511,19273.44464,23112.37989,21305.58755,19572.34037,19757.26938,20902.20949,21935.83153,22943.77778,23875.63492,23812.02997,24267.94508,24682.0445,,,
Africa Eastern and Southern,,,,,,,,,,,,505.2694832,461.7572091,485.8097,439.4650173,352.2639784,378.5547153,453.0279314,477.0691797,485.4798355,522.744437,540.639574,543.3609146,561.1078557,558.0480572,615.3632722,604.93357,623.506531,571.5695241,553.9137731,579.2229335,501.7451628,495.7848668,651.0027827,788.9961141,883.5738956,942.455801,1008.532308,984.8135141,1069.598405,1221.22654,1326.464016,1313.196784,1302.59481,1316.287505,1235.070917,1160.401331,1265.368845,1272.36318,1246.938123,1089.332144,
Afghanistan,148.531898,151.3987547,128.7023947,135.4950055,163.9589318,175.0323491,184.9997183,210.2534404,231.9779424,257.4315524,252.9345334,246.370096,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.6487075,493.2648939,536.9413455,581.6232453,570.2753338,560.813478,511.9531575,473.9654778,481.1342644,447.9801284,459.52278,474.1735719,
Africa Western and Central,195.5015258,137.7184951,163.3031918,194.5657675,245.039452,294.1223811,353.908019,353.5550214,383.8594173,399.2042513,521.4618395,1121.993351,984.3267263,696.7258201,545.6714516,536.0133778,497.039878,480.2873915,474.9727837,396.2423366,449.02178,444.0136972,429.7804415,342.2893608,292.8643058,358.7333042,383.8312991,384.2843722,400.6322246,415.6814559,371.3917382,408.133066,485.4686029,538.2108148,630.6786384,733.0217803,960.3771509,1092.51807,1281.153301,1168.721022,1264.347386,1344.384484,1453.896483,1641.212828,1729.336801,1570.586528,1395.438921,1310.878955,1354.645904,1432.709736,1379.366217,
Angola,,,,,,,,,,,,,,,,530.6165972,548.0169983,464.3738021,441.6304515,644.3596858,546.8257488,,,,-8.901806816,179.8741119,178.0162151,255.5037749,263.9208719,159.901282,203.7362915,261.991562,558.3827595,661.7362484,681.4933295,932.1281337,1265.688875,1403.176276,1326.744961,1785.254934,1755.166559,2309.026622,2729.572828,3059.789498,3489.0461,3134.604045,2627.973667,2857.214405,2006.183578,1690.701457,1089.695571,
Albania,,,,,,,,,,,,,,,461.4375343,458.3217579,548.187783,514.3330393,499.7215766,525.3919049,471.9799969,247.392276,135.4525547,315.4367201,507.7965194,667.1105099,912.5496484,640.8208692,747.5134191,947.5044926,1037.505398,1184.244802,1304.986582,1695.273814,2166.051103,2431.70614,2736.182664,3228.294728,3834.898811,3512.410044,3495.844214,3728.04779,3503.24351,3760.376907,3844.337544,3267.217515,3443.310224,3712.733017,4318.911492,4337.131083,4207.193534,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,1359.946787,1484.804365,1489.058398,1378.55203,1340.920259,1294.347254,1270.520548,1281.109714,1258.480683,1251.77919,1684.910574,1613.401906,1751.340764,1715.533808,1701.022048,1829.64956,1941.483268,2071.966743,2015.021672,2158.508864,2324.947761,2276.871045,2259.986216,2396.784047,2756.23967,3182.652355,3726.097795,4320.808726,5202.698194,4666.530709,5255.411487,5345.250438,5785.554393,5864.072633,5896.807393,5229.472011,5103.944121,5046.466881,5361.887984,5399.046589,4858.161627,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30445.26829,29043.92101,28201.80824,29583.57627,32194.15347,33304.67389,35908.60541,36673.22758,37374.28288,27384.89114,30508.21988,34549.93334,36056.32471,37919.69728,39312.40301,35649.43725,35492.76509,37747.5237,40036.82802,38920.15082,33416.451,
Argentina,1194.69568,1301.194781,1294.847758,1965.66797,2640.801776,1889.261077,1782.000281,1941.245814,1944.852688,2225.592933,2406.616092,2397.523706,2476.867603,3026.825298,2267.237513,2489.451003,3174.77526,3104.834588,3485.705896,1925.071195,3697.162605,5036.787525,6067.009678,6187.318029,6579.734463,6396.365375,6695.979374,7078.345501,7119.552572,6553.840354,6435.742019,5997.86991,1986.413212,2681.635445,3177.1429,3786.517022,4867.581031,6098.522952,7569.844371,6840.673361,8619.8682,10693.74776,10837.05983,10847.68088,10223.7422,11697.12026,10806.45554,12500.40628,9817.467734,8273.355714,7190.425368,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,401.5920445,441.6246331,470.7892241,536.2046778,522.4830395,541.715996,605.4062188,679.6772651,817.6495137,1067.736529,1482.562586,1978.660661,2905.703906,3764.981738,2742.76685,2919.025604,3156.844652,3325.85115,3556.288949,3647.612545,3235.792344,3167.694466,3515.982215,3709.088092,4025.707006,3520.522766,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2679.493439,2828.033102,3247.872047,3942.542233,5330.860529,5785.338849,6194.481906,6330.433799,6734.433524,7437.880806,8181.489931,9698.245259,10228.21933,9345.6434,10046.73746,9101.522718,9038.727046,9233.430171,11436.00412,14135.57704,14167.81666,14638.87156,14467.27446,13953.71791,14420.89109,16014.19094,17313.10952,18598.3916,16957.81078,16347.027,17046.13093,15465.41185,16023.74726,18803.6344,24330.86398,26553.40319,27889.94889,31281.576,37842.58147,33330.76938,40364.97456,48352.99381,53384.58624,53737.14874,48683.55094,44412.79223,39031.78299,42080.55053,44159.87665,42360.80123,39262.15741,
Austria,1759.625085,2032.948552,2495.671448,3328.331231,3955.93331,4498.290234,4849.341785,5792.83317,6949.159283,8302.717206,9164.269859,7856.423696,7891.143082,8034.663039,7565.028477,7732.927777,11000.25348,13771.32023,14865.56378,14781.08239,18387.54659,18875.00662,20982.32809,20241.96831,21531.27866,25388.20514,25026.71288,22284.33105,22789.80218,22348.62455,20341.03385,20125.46938,21816.07437,26658.34015,30555.30508,31845.27208,33960.50729,39103.43946,43461.31897,39492.89768,38980.73266,42556.70224,39976.49259,41680.08822,42411.3736,35797.3092,37170.47025,38344.43959,41653.4774,40727.17426,38816.74846,
